FIPSCode,State,County,Age-Adjusted Mortality,Child Mortality Rate,Infant Mortality Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,HIV Prevalence Rate,% Food Insecure,% Limited Access,Drug Overdose Mortality Rate,Range Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,% Insufficient Sleep,# Uninsured,% Uninsured,# Uninsured,% Uninsured,Costs,Other PCP Rate,Household Income,Segregation Index,Homicide Rate,% African American,% American Indian/Alaskan Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Rural
1001,Alabama,Autauga,456,50,7,13,13,11,205,14,10,8,8.1-10.0,75,20,38,5852,17,563,4,10166,18,54366,29,5,18.5,0.5,1.1,0.1,2.7,75.6,0.5,42
1003,Alabama,Baldwin,356,51,6,12,13,11,174,14,5,16,18.1-20.0,204,16,33,25253,22,2586,6,9490,34,49626,35,4,9.4,0.7,0.9,0.1,4.6,83,1.4,42.3
1005,Alabama,Barbour,431,60,13,15,15,15,399,22,11,,4.1-6.0,35,18,40,3127,23,306,5,10077,19,34971,26,5,47.2,0.6,0.5,0.2,4.5,46.6,2.2,67.8
1007,Alabama,Bibb,542,111,14,15,14,13,125,16,2,15,14.1-16.0,38,24,41,2388,19,209,4,10674,27,39546,40,7,21.9,0.4,0.2,0.1,2.1,74.5,0.5,68.4
1009,Alabama,Blount,430,52,6,14,14,12,94,12,1,24,14.1-16.0,99,25,36,7693,22,864,6,10093,9,45567,34,3,1.6,0.6,0.3,0.1,8.7,87.8,1.8,90
1011,Alabama,Bullock,469,152,,17,16,17,368,24,20,,6.1-8.0,36,48,44,1281,24,115,5,9294,56,26580,15,,69.1,0.8,0.3,0.7,7.5,22.1,2.6,51.4
1013,Alabama,Butler,538,52,,17,16,16,242,22,3,,8.1-10.0,28,19,41,2397,20,200,4,10754,39,32512,33,10,43.7,0.4,0.9,0,1.2,53.1,0.4,71.2
1015,Alabama,Calhoun,521,63,8,15,15,13,202,18,10,9,10.1-12.0,143,17,39,14418,20,1049,4,11041,35,41123,47,11,20.8,0.5,0.9,0.1,3.5,72.9,0.8,33.7
1017,Alabama,Chambers,568,47,9,16,16,15,364,21,9,,10.1-12.0,61,25,40,4421,21,290,4,8961,9,34116,28,10,39.2,0.3,0.8,0.1,2,56.8,0.2,49.1
1019,Alabama,Cherokee,528,64,,14,14,13,130,15,0,19,14.1-16.0,47,26,34,3155,20,289,5,10079,12,38013,14,,4.6,0.5,0.3,0,1.5,91.6,0.1,85.7
1021,Alabama,Chilton,534,65,10,14,14,12,94,14,2,12,16.1-18.0,81,27,39,6481,24,685,6,10571,,41450,26,8,10.2,0.5,0.4,0.2,7.7,80.3,2.8,86.7
1023,Alabama,Choctaw,522,100,,15,15,16,233,19,12,,10.1-12.0,43,44,43,1550,20,156,5,12249,38,35049,32,,42.2,0.2,0.3,0,0.8,56.1,0,100
1025,Alabama,Clarke,465,78,11,16,16,16,137,23,11,,6.1-8.0,53,29,39,3000,20,263,4,9573,40,36620,20,6,43.9,0.4,0.5,0,1.3,53.1,0.2,76
1027,Alabama,Clay,466,,,15,15,14,175,17,2,,8.1-10.0,19,20,36,1893,24,205,7,10274,37,35940,25,,14.3,0.6,0.3,0,3.4,79.7,0.9,100
1029,Alabama,Cleburne,532,,,13,13,11,112,14,1,,14.1-16.0,26,25,33,1857,21,192,5,10476,20,40418,39,,3.6,0.4,0.2,0.1,2.5,92.3,0.1,100
1031,Alabama,Coffee,382,62,9,15,14,12,164,16,7,8,8.1-10.0,63,18,35,6514,21,687,5,9513,45,46931,25,3,17.3,1.4,1.6,0.4,6.4,71.3,2.2,47.2
1033,Alabama,Colbert,490,76,8,14,14,13,102,16,5,,6.1-8.0,77,20,36,5953,18,524,4,10500,94,43057,28,5,16,0.6,0.5,0.1,2.6,78.8,0.4,43.9
1035,Alabama,Conecuh,543,111,,19,17,19,300,23,15,,16.1-18.0,33,36,41,1738,23,139,5,11065,24,29101,16,,45.6,0.4,0.1,0,1.8,51.1,0.3,80.9
1037,Alabama,Coosa,512,,,16,15,16,157,18,7,,10.1-12.0,22,28,39,1415,21,125,6,10805,9,34679,40,,31.3,0.6,0.2,0.2,2.3,64.8,0.7,100
1039,Alabama,Covington,471,74,9,15,15,13,147,16,3,,6.1-8.0,54,20,36,4733,22,421,5,10505,47,36149,37,,12.8,0.6,0.5,0,1.6,83.1,0.7,69.7
1041,Alabama,Crenshaw,446,,,15,15,14,214,17,16,,10.1-12.0,30,31,39,1725,21,196,6,10046,64,34445,24,,23.9,0.5,1.8,0.1,1.7,70.6,0.9,100
1043,Alabama,Cullman,463,60,7,14,14,12,68,14,3,24,10.1-12.0,132,23,35,11452,24,1101,6,10227,58,39922,37,3,1.3,0.6,0.5,0,4.4,92.1,1,73.2
1045,Alabama,Dale,439,45,7,14,14,12,296,17,10,11,10.1-12.0,65,19,41,5719,19,544,4,10020,75,41940,26,8,19.2,0.8,1.3,0.1,6.1,70.2,0.7,50.9
1047,Alabama,Dallas,599,71,7,20,18,19,393,29,12,8,6.1-8.0,76,25,44,4691,19,382,3,9834,17,26602,56,24,69.1,0.2,0.5,0,1,28.5,0.1,45.6
1049,Alabama,DeKalb,481,55,6,15,15,12,88,13,2,20,12.1-14.0,104,21,36,12540,29,1371,8,9945,34,36241,34,3,1.8,2.1,0.4,0.7,14.2,80.6,4.5,90.1
1051,Alabama,Elmore,408,75,8,12,13,11,213,15,7,6,6.1-8.0,107,19,34,7125,15,905,5,10371,17,54298,28,8,21,0.4,0.7,0.1,2.7,73.7,0.9,54.2
1053,Alabama,Escambia,552,82,8,17,16,15,185,20,8,31,>20,67,25,39,4980,24,434,5,10549,24,37077,35,12,32.1,3.4,0.3,0.1,2.1,60.6,0.2,63.5
1055,Alabama,Etowah,546,79,11,15,15,13,165,16,9,15,14.1-16.0,125,17,40,12679,20,1091,5,11914,58,39904,60,7,15.3,0.5,0.8,0.3,3.7,78.4,1.1,37.5
1057,Alabama,Fayette,534,,,15,15,13,90,17,1,,16.1-18.0,36,30,37,1932,19,168,4,9445,18,35664,44,,11.8,0.4,0.3,0,1.4,85,0.1,80.2
1059,Alabama,Franklin,576,64,8,16,15,12,38,15,4,24,18.1-20.0,55,25,38,4945,26,474,6,11236,35,33881,54,,4,1.5,0.4,0.2,16.1,78,6.5,70.4
