StateCode,IssuerId,PlanId,IndividualRate,FIPSCode,MultistatePlan_2015,MetalLevel_2015,a.IndividualRate
FL,27357,27357FL1830023,235.93,12009,N,Bronze,218.91
FL,27357,27357FL1830025,222.21,12009,N,Bronze,218.91
FL,16842,16842FL0070073,308.98,12001,N,Silver,304.34
FL,16842,16842FL0070073,346.22,12003,N,Silver,328.67
FL,16842,16842FL0070073,305.82,12005,N,Silver,289.28
FL,16842,16842FL0070073,289.97,12007,N,Silver,291.22
FL,16842,16842FL0070073,342.66,12009,N,Silver,325.58
FL,16842,16842FL0070073,421.09,12011,N,Silver,398.19
FL,16842,16842FL0070073,310.57,12013,N,Silver,301.64
FL,16842,16842FL0070073,340.28,12015,N,Silver,341.81
FL,16842,16842FL0070073,334.34,12017,N,Silver,329.45
FL,16842,16842FL0070073,335.13,12019,N,Silver,327.13
FL,16842,16842FL0070073,350.98,12021,N,Silver,348.75
FL,16842,16842FL0070073,320.47,12023,N,Silver,305.89
FL,16842,16842FL0070073,420.3,12086,N,Silver,403.99
FL,16842,16842FL0070073,327.21,12029,N,Silver,317.47
FL,16842,16842FL0070073,337.11,12031,N,Silver,333.31
FL,16842,16842FL0070073,349.79,12033,N,Silver,330.99
FL,16842,16842FL0070073,370.78,12035,N,Silver,350.69
FL,16842,16842FL0070073,311.76,12037,N,Silver,304.73
FL,16842,16842FL0070073,362.86,12039,N,Silver,353
FL,16842,16842FL0070073,318.49,12041,N,Silver,310.91
FL,16842,16842FL0070073,335.53,12043,N,Silver,332.92
FL,16842,16842FL0070073,297.1,12045,N,Silver,281.17
FL,16842,16842FL0070073,314.53,12047,N,Silver,309.36
FL,16842,16842FL0070073,364.05,12049,N,Silver,365.75
FL,16842,16842FL0070073,317.3,12053,N,Silver,305.11
FL,16842,16842FL0070073,326.41,12051,N,Silver,323.27
FL,16842,16842FL0070073,348.99,12055,N,Silver,348.75
FL,16842,16842FL0070073,319.28,12057,N,Silver,320.56
FL,16842,16842FL0070073,301.06,12059,N,Silver,293.92
FL,16842,16842FL0070073,326.02,12061,N,Silver,308.2
FL,16842,16842FL0070073,299.87,12063,N,Silver,295.84
FL,16842,16842FL0070073,355.73,12065,N,Silver,352.24
FL,16842,16842FL0070073,323.25,12067,N,Silver,315.55
FL,16842,16842FL0070073,314.53,12069,N,Silver,315.93
FL,16842,16842FL0070073,354.54,12071,N,Silver,356.1
FL,16842,16842FL0070073,314.13,12073,N,Silver,309.36
FL,16842,16842FL0070073,310.97,12075,N,Silver,308.59
FL,16842,16842FL0070073,331.96,12077,N,Silver,322.88
FL,16842,16842FL0070073,312.55,12079,N,Silver,304.73
FL,16842,16842FL0070073,316.12,12081,N,Silver,298.94
FL,16842,16842FL0070073,315.72,12083,N,Silver,298.55
FL,16842,16842FL0070073,347.01,12085,N,Silver,328.28
FL,16842,16842FL0070073,438.92,12087,N,Silver,440.68
FL,16842,16842FL0070073,373.16,12089,N,Silver,363.82
FL,16842,16842FL0070073,307.4,12091,N,Silver,308.59
FL,16842,16842FL0070073,372.76,12093,N,Silver,365.36
FL,16842,16842FL0070073,361.67,12095,N,Silver,363.05
FL,16842,16842FL0070073,372.37,12097,N,Silver,372.32
FL,16842,16842FL0070073,398.51,12099,N,Silver,376.95
FL,16842,16842FL0070073,330.38,12101,N,Silver,331.77
FL,16842,16842FL0070073,336.71,12103,N,Silver,338.33
FL,16842,16842FL0070073,389,12105,N,Silver,368.07
FL,16842,16842FL0070073,351.77,12107,N,Silver,332.53
FL,16842,16842FL0070073,358.5,12109,N,Silver,339.11
FL,16842,16842FL0070073,321.66,12111,N,Silver,307.05
FL,16842,16842FL0070073,356.12,12113,N,Silver,336.78
FL,16842,16842FL0070073,347.01,12115,N,Silver,332.15
FL,16842,16842FL0070073,383.85,12117,N,Silver,385.45
FL,16842,16842FL0070073,302.25,12119,N,Silver,297.39
FL,16842,16842FL0070073,323.25,12121,N,Silver,310.52
FL,16842,16842FL0070073,313.74,12123,N,Silver,307.05
FL,16842,16842FL0070073,327.21,12125,N,Silver,316.31
FL,16842,16842FL0070073,327.6,12127,N,Silver,317.86
FL,16842,16842FL0070073,360.09,12129,N,Silver,356.87
FL,16842,16842FL0070073,338.69,12131,N,Silver,320.17
FL,16842,16842FL0070073,312.55,12133,N,Silver,300.87
FL,16842,16842FL0070084,241.92,12001,N,Bronze,258
FL,16842,16842FL0070084,271.07,12003,N,Bronze,278.62
FL,16842,16842FL0070084,239.44,12005,N,Bronze,245.23
FL,16842,16842FL0070084,227.03,12007,N,Bronze,246.87
FL,16842,16842FL0070084,268.28,12009,N,Bronze,276
FL,16842,16842FL0070084,329.69,12011,N,Bronze,337.55
FL,16842,16842FL0070084,243.16,12013,N,Bronze,255.7
FL,16842,16842FL0070084,266.42,12015,N,Bronze,289.75
FL,16842,16842FL0070084,261.77,12017,N,Bronze,279.28
FL,16842,16842FL0070084,262.39,12019,N,Bronze,277.31
FL,16842,16842FL0070084,274.79,12021,N,Bronze,295.65
FL,16842,16842FL0070084,250.91,12023,N,Bronze,259.31
FL,16842,16842FL0070084,329.07,12086,N,Bronze,342.47
FL,16842,16842FL0070084,256.18,12029,N,Bronze,269.13
FL,16842,16842FL0070084,263.94,12031,N,Bronze,282.55
FL,16842,16842FL0070084,273.86,12033,N,Bronze,280.59
FL,16842,16842FL0070084,290.3,12035,N,Bronze,297.28
FL,16842,16842FL0070084,244.09,12037,N,Bronze,258.32
FL,16842,16842FL0070084,284.1,12039,N,Bronze,299.24
FL,16842,16842FL0070084,249.36,12041,N,Bronze,263.56
FL,16842,16842FL0070084,262.7,12043,N,Bronze,282.22
FL,16842,16842FL0070084,232.61,12045,N,Bronze,238.35
FL,16842,16842FL0070084,246.26,12047,N,Bronze,262.25
FL,16842,16842FL0070084,285.03,12049,N,Bronze,310.05
FL,16842,16842FL0070084,248.43,12053,N,Bronze,258.65
FL,16842,16842FL0070084,255.56,12051,N,Bronze,274.03
FL,16842,16842FL0070084,273.24,12055,N,Bronze,295.65
FL,16842,16842FL0070084,249.98,12057,N,Bronze,271.75
FL,16842,16842FL0070084,235.71,12059,N,Bronze,249.15
FL,16842,16842FL0070084,255.25,12061,N,Bronze,261.26
FL,16842,16842FL0070084,234.78,12063,N,Bronze,250.79
FL,16842,16842FL0070084,278.51,12065,N,Bronze,298.59
FL,16842,16842FL0070084,253.08,12067,N,Bronze,267.49
FL,16842,16842FL0070084,246.26,12069,N,Bronze,267.82
FL,16842,16842FL0070084,277.58,12071,N,Bronze,301.86
FL,16842,16842FL0070084,245.95,12073,N,Bronze,262.25
FL,16842,16842FL0070084,243.47,12075,N,Bronze,261.59
FL,16842,16842FL0070084,259.9,12077,N,Bronze,273.7
FL,16842,16842FL0070084,244.71,12079,N,Bronze,258.32
FL,16842,16842FL0070084,247.5,12081,N,Bronze,253.41
FL,16842,16842FL0070084,247.19,12083,N,Bronze,253.08
FL,16842,16842FL0070084,271.69,12085,N,Bronze,278.29
FL,16842,16842FL0070084,343.65,12087,N,Bronze,373.57
FL,16842,16842FL0070084,292.16,12089,N,Bronze,308.42
FL,16842,16842FL0070084,240.68,12091,N,Bronze,261.59
FL,16842,16842FL0070084,291.85,12093,N,Bronze,309.72
FL,16842,16842FL0070084,283.17,12095,N,Bronze,307.76
FL,16842,16842FL0070084,291.54,12097,N,Bronze,315.62
FL,16842,16842FL0070084,312.01,12099,N,Bronze,319.55
FL,16842,16842FL0070084,258.66,12101,N,Bronze,281.24
FL,16842,16842FL0070084,263.63,12103,N,Bronze,286.8
FL,16842,16842FL0070084,304.57,12105,N,Bronze,312.01
FL,16842,16842FL0070084,275.41,12107,N,Bronze,281.9
FL,16842,16842FL0070084,280.68,12109,N,Bronze,287.46
FL,16842,16842FL0070084,251.84,12111,N,Bronze,260.29
FL,16842,16842FL0070084,278.82,12113,N,Bronze,285.49
FL,16842,16842FL0070084,271.69,12115,N,Bronze,281.57
FL,16842,16842FL0070084,300.53,12117,N,Bronze,326.75
FL,16842,16842FL0070084,236.64,12119,N,Bronze,252.1
FL,16842,16842FL0070084,253.08,12121,N,Bronze,263.23
FL,16842,16842FL0070084,245.64,12123,N,Bronze,260.29
FL,16842,16842FL0070084,256.18,12125,N,Bronze,268.14
FL,16842,16842FL0070084,256.49,12127,N,Bronze,269.46
FL,16842,16842FL0070084,281.93,12129,N,Bronze,302.52
FL,16842,16842FL0070084,265.18,12131,N,Bronze,271.42
FL,16842,16842FL0070084,244.71,12133,N,Bronze,255.05
FL,16842,16842FL0070100,295.77,12001,N,Silver,334.7
FL,16842,16842FL0070100,331.41,12003,N,Silver,361.46
FL,16842,16842FL0070100,292.73,12005,N,Silver,318.15
FL,16842,16842FL0070100,277.57,12007,N,Silver,320.27
FL,16842,16842FL0070100,328,12009,N,Silver,358.07
FL,16842,16842FL0070100,403.08,12011,N,Silver,437.92
FL,16842,16842FL0070100,297.28,12013,N,Silver,331.74
FL,16842,16842FL0070100,325.72,12015,N,Silver,375.91
FL,16842,16842FL0070100,320.03,12017,N,Silver,362.31
FL,16842,16842FL0070100,320.79,12019,N,Silver,359.77
FL,16842,16842FL0070100,335.96,12021,N,Silver,383.55
FL,16842,16842FL0070100,306.76,12023,N,Silver,336.4
FL,16842,16842FL0070100,402.32,12086,N,Silver,444.29
FL,16842,16842FL0070100,313.21,12029,N,Silver,349.15
FL,16842,16842FL0070100,322.69,12031,N,Silver,366.56
FL,16842,16842FL0070100,334.82,12033,N,Silver,364.01
FL,16842,16842FL0070100,354.92,12035,N,Silver,385.68
FL,16842,16842FL0070100,298.42,12037,N,Silver,335.13
FL,16842,16842FL0070100,347.34,12039,N,Silver,388.23
FL,16842,16842FL0070100,304.87,12041,N,Silver,341.92
FL,16842,16842FL0070100,321.17,12043,N,Silver,366.14
FL,16842,16842FL0070100,284.39,12045,N,Silver,309.22
FL,16842,16842FL0070100,301.07,12047,N,Silver,340.22
FL,16842,16842FL0070100,348.47,12049,N,Silver,402.25
FL,16842,16842FL0070100,303.73,12053,N,Silver,335.55
FL,16842,16842FL0070100,312.45,12051,N,Silver,355.52
FL,16842,16842FL0070100,334.06,12055,N,Silver,383.55
FL,16842,16842FL0070100,305.62,12057,N,Silver,352.54
FL,16842,16842FL0070100,288.18,12059,N,Silver,323.24
FL,16842,16842FL0070100,312.07,12061,N,Silver,338.95
FL,16842,16842FL0070100,287.04,12063,N,Silver,325.37
FL,16842,16842FL0070100,340.51,12065,N,Silver,387.38
FL,16842,16842FL0070100,309.42,12067,N,Silver,347.02
FL,16842,16842FL0070100,301.07,12069,N,Silver,347.45
FL,16842,16842FL0070100,339.37,12071,N,Silver,391.63
FL,16842,16842FL0070100,300.7,12073,N,Silver,340.22
FL,16842,16842FL0070100,297.66,12075,N,Silver,339.38
FL,16842,16842FL0070100,317.76,12077,N,Silver,355.09
FL,16842,16842FL0070100,299.18,12079,N,Silver,335.13
FL,16842,16842FL0070100,302.59,12081,N,Silver,328.77
FL,16842,16842FL0070100,302.21,12083,N,Silver,328.34
FL,16842,16842FL0070100,332.17,12085,N,Silver,361.04
FL,16842,16842FL0070100,420.14,12087,N,Silver,484.65
FL,16842,16842FL0070100,357.19,12089,N,Silver,400.12
FL,16842,16842FL0070100,294.25,12091,N,Silver,339.38
FL,16842,16842FL0070100,356.82,12093,N,Silver,401.82
FL,16842,16842FL0070100,346.2,12095,N,Silver,399.27
FL,16842,16842FL0070100,356.44,12097,N,Silver,409.47
FL,16842,16842FL0070100,381.46,12099,N,Silver,414.56
FL,16842,16842FL0070100,316.24,12101,N,Silver,364.86
FL,16842,16842FL0070100,322.31,12103,N,Silver,372.08
FL,16842,16842FL0070100,372.36,12105,N,Silver,404.79
FL,16842,16842FL0070100,336.72,12107,N,Silver,365.71
FL,16842,16842FL0070100,343.16,12109,N,Silver,372.93
FL,16842,16842FL0070100,307.9,12111,N,Silver,337.68
FL,16842,16842FL0070100,340.89,12113,N,Silver,370.39
FL,16842,16842FL0070100,332.17,12115,N,Silver,365.29
FL,16842,16842FL0070100,367.43,12117,N,Silver,423.91
FL,16842,16842FL0070100,289.32,12119,N,Silver,327.07
FL,16842,16842FL0070100,309.42,12121,N,Silver,341.5
FL,16842,16842FL0070100,300.32,12123,N,Silver,337.68
FL,16842,16842FL0070100,313.21,12125,N,Silver,347.87
FL,16842,16842FL0070100,313.59,12127,N,Silver,349.57
FL,16842,16842FL0070100,344.68,12129,N,Silver,392.48
FL,16842,16842FL0070100,324.21,12131,N,Silver,352.12
FL,16842,16842FL0070100,299.18,12133,N,Silver,330.89
FL,16842,16842FL0070102,342.74,12001,N,Platinum,447.27
FL,16842,16842FL0070102,384.04,12003,N,Platinum,483.03
FL,16842,16842FL0070102,339.22,12005,N,Platinum,425.13
FL,16842,16842FL0070102,321.65,12007,N,Platinum,427.97
