IndividualRate,PlanId_2015,FIPSCode,RatingAreaId
274.34,16842FL0070120,12001,Rating Area 1
310.73,16842FL0070120,12003,Rating Area 2
304.71,16842FL0070120,12005,Rating Area 3
249.66,16842FL0070120,12007,Rating Area 4
310.09,16842FL0070120,12009,Rating Area 5
356.61,16842FL0070120,12011,Rating Area 6
278.77,16842FL0070120,12013,Rating Area 7
281.3,16842FL0070120,12015,Rating Area 8
249.34,16842FL0070120,12017,Rating Area 9
311.99,16842FL0070120,12019,Rating Area 10
287.94,16842FL0070120,12021,Rating Area 11
289.21,16842FL0070120,12023,Rating Area 12
281.93,16842FL0070120,12029,Rating Area 14
311.67,16842FL0070120,12031,Rating Area 15
300.6,16842FL0070120,12033,Rating Area 16
321.17,16842FL0070120,12035,Rating Area 17
280.98,16842FL0070120,12037,Rating Area 18
317.69,16842FL0070120,12039,Rating Area 19
274.34,16842FL0070120,12041,Rating Area 20
295.22,16842FL0070120,12043,Rating Area 21
279.72,16842FL0070120,12045,Rating Area 22
270.86,16842FL0070120,12047,Rating Area 23
318.95,16842FL0070120,12049,Rating Area 24
298.7,16842FL0070120,12051,Rating Area 25
293.01,16842FL0070120,12053,Rating Area 26
309.78,16842FL0070120,12055,Rating Area 27
306.61,16842FL0070120,12057,Rating Area 28
264.21,16842FL0070120,12059,Rating Area 29
288.89,16842FL0070120,12061,Rating Area 30
266.11,16842FL0070120,12063,Rating Area 31
314.21,16842FL0070120,12065,Rating Area 32
293.96,16842FL0070120,12067,Rating Area 33
293.01,16842FL0070120,12069,Rating Area 34
324.33,16842FL0070120,12071,Rating Area 35
284.15,16842FL0070120,12073,Rating Area 36
274.34,16842FL0070120,12075,Rating Area 37
301.23,16842FL0070120,12077,Rating Area 38
280.67,16842FL0070120,12079,Rating Area 39
289.21,16842FL0070120,12081,Rating Area 40
276.55,16842FL0070120,12083,Rating Area 41
300.6,16842FL0070120,12085,Rating Area 42
367.36,16842FL0070120,12086,Rating Area 43
401.54,16842FL0070120,12087,Rating Area 44
329.71,16842FL0070120,12089,Rating Area 45
297.75,16842FL0070120,12091,Rating Area 46
321.17,16842FL0070120,12093,Rating Area 47
326.23,16842FL0070120,12095,Rating Area 48
325.91,16842FL0070120,12097,Rating Area 49
336.04,16842FL0070120,12099,Rating Area 50
314.52,16842FL0070120,12101,Rating Area 51
314.84,16842FL0070120,12103,Rating Area 52
359.14,16842FL0070120,12105,Rating Area 53
313.26,16842FL0070120,12107,Rating Area 54
336.67,16842FL0070120,12109,Rating Area 58
294.27,16842FL0070120,12111,Rating Area 59
301.55,16842FL0070120,12113,Rating Area 55
280.35,16842FL0070120,12115,Rating Area 56
337.62,16842FL0070120,12117,Rating Area 57
277.5,16842FL0070120,12119,Rating Area 60
285.41,16842FL0070120,12121,Rating Area 61
279.4,16842FL0070120,12123,Rating Area 62
281.93,16842FL0070120,12125,Rating Area 63
291.11,16842FL0070120,12127,Rating Area 64
