FIPSCode,respop72014,respop72015
1001,54864,54838
1003,199064,202863
1005,26749,26264
1007,22533,22561
1009,57546,57590
1011,10673,10419
1013,20327,20141
1015,115941,115505
1017,33948,33968
1019,25897,25741
1021,43779,43706
1023,13318,13231
1025,24865,24708
1027,13440,13414
1029,15026,14922
1031,50652,50974
1033,54461,54358
1035,12677,12678
1037,11034,10923
1039,37755,37550
1041,13852,13851
1043,81041,81721
1045,49409,49344
1047,41559,40939
1049,71034,71198
1051,80562,80912
1053,37740,37667
1055,103374,102942
1057,16768,16688
1059,31494,31467
1061,26598,26639
1063,8587,8510
1065,15048,15018
1067,17080,17102
1069,104148,104249
1071,52541,52207
1073,659544,660087
1075,14070,13931
1077,92983,92422
1079,33448,33137
1081,154211,156740
1083,90616,91633
1085,10489,10345
1087,19640,19304
1089,349596,352740
1091,19975,19757
1093,30200,30116
1095,94232,94577
1097,414314,414588
1099,21931,21720
1101,227307,227002
1103,119408,119199
1105,9819,9653
1107,20282,20776
1109,33016,33372
1111,22350,22588
1113,59207,58847
1115,86219,86758
1117,206152,208877
1119,13253,13174
1121,81445,81047
1123,40886,40617
1125,202803,204473
1127,65326,64939
1129,16851,16812
1131,10951,10901
1133,24129,23918
2013,3325,3346
2016,5839,5818
2020,300296,298018
2050,17929,17951
2060,949,904
2068,1913,1931
2070,4987,4993
2090,99308,99643
2100,2555,2516
2105,2130,2159
2110,32490,32612
2122,57585,58067
2130,13780,13680
2150,13906,13753
2158,8105,8200
2164,1647,1595
2170,98104,101064
2180,9798,9869
2185,9763,9780
2188,7756,7752
2195,3265,3263
2198,6462,6505
2220,8844,8786
2230,1052,1086
2240,6929,6807
2261,9478,9327
2275,2446,2456
2282,655,635
2290,5463,5463
4001,71762,70979
4003,127054,126084
4005,137209,138682
4007,53008,52935
4009,38064,37786
4011,9319,9549
4012,20442,20342
4013,4076708,4154076
4015,203320,204524
4017,107613,107543
4019,1000916,1005323
4021,394004,404069
4023,46468,46191
4025,217509,220621
4027,203039,203558
5001,18484,18350
5003,20958,20837
5005,40871,41118
5007,244192,251016
5009,37090,37091
5011,11007,10998
5013,5168,5201
5015,27715,27751
5017,11187,10957
5019,22551,22506
5021,15295,15197
5023,25603,25358
5025,8397,8284
5027,24014,24089
5029,20977,20912
5031,102526,104297
5033,61797,61877
5035,49550,49040
5037,17171,17240
5039,7687,7529
5041,12268,12029
5043,18635,18617
5045,120463,121113
5047,17815,17739
5049,12074,12121
5051,97720,97734
5053,18069,18016
5055,43772,44301
5057,22348,22103
5059,33396,33478
5061,13516,13375
5063,37043,37010
5065,13547,13480
5067,17595,17376
5069,72422,71822
5071,25972,26126
5073,7163,7016
5075,16970,16700
5077,9844,9679
5079,14031,13877
5081,12522,12420
5083,21849,21713
5085,71264,71268
5087,15721,15696
5089,16422,16209
5091,43569,43919
5093,44232,43717
5095,7635,7453
5097,9155,9022
5099,8651,8515
5101,7878,7860
5103,24750,24312
5105,10352,10299
5107,19962,19562
5109,10982,10830
5111,24144,24010
5113,20253,20203
5115,63073,63559
5117,8349,8301
5119,392434,393107
5121,17561,17417
5123,27078,26636
5125,114781,116304
5127,10665,10544
5129,7915,7828
5131,126683,127387
5133,17388,17250
5135,16817,16817
5137,12378,12380
5139,40129,40073
5141,16887,16769
5143,219442,223851
5145,78368,78835
5147,6871,6718
5149,21737,21482
6001,1611572,1637141
6003,1084,1088
6005,36748,37047
6007,223629,224818
6009,44677,44954
6011,21268,21341
6013,1110971,1126027
6015,27206,27253
6017,183333,184865
6019,963170,972333
6021,27909,27841
6023,134584,135219
6025,178868,179839
6027,18340,18197
6029,871895,879607
6031,149862,150482
6033,64113,64310
6035,31716,31393
6037,10072695,10123248
6039,154103,154423
6041,261007,261718
6043,17730,17649
6045,87375,87318
6047,265281,267406
6049,9083,9050
6051,14072,13954
6053,430416,432774
