BeginPrimaryCareCostSharingAfterNumberOfVisits,IsHSAEligible,IsNewPlan,IsReferralRequiredForSpecialist,NationalNetwork,OutOfServiceAreaCoverage,PlanType,StandardComponentId,StateCode
0,,New,,Yes,Yes,PPO,21989AK0030001,AK
0,,New,,Yes,Yes,PPO,21989AK0030001,AK
0,,New,,Yes,Yes,PPO,38344AK1020001,AK
0,,New,,Yes,Yes,PPO,38344AK1020001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710006,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750004,AK
0,,New,,No,Yes,Indemnity,58670AK0010001,AK
0,,New,,No,Yes,Indemnity,58670AK0010002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0770001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700006,AK
0,,Existing,,Yes,No,PPO,38536AK0010001,AK
0,,Existing,,Yes,No,PPO,38536AK0010002,AK
0,,New,,Yes,No,PPO,38536AK0010005,AK
0,,New,,Yes,No,PPO,38536AK0010004,AK
0,,Existing,,Yes,Yes,PPO,45858AK0040002,AK
0,,Existing,,Yes,Yes,PPO,45858AK0040001,AK
0,,Existing,,Yes,Yes,PPO,45858AK0030002,AK
0,,Existing,,Yes,Yes,PPO,45858AK0030001,AK
0,,Existing,,Yes,Yes,PPO,47904AK0070001,AK
0,,Existing,,Yes,Yes,PPO,47904AK0090001,AK
0,,Existing,,Yes,Yes,PPO,47904AK0090002,AK
0,,Existing,,Yes,Yes,PPO,47904AK0070002,AK
0,,Existing,,Yes,Yes,PPO,47904AK0080001,AK
0,,Existing,,Yes,Yes,PPO,47904AK0080002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700006,AK
0,No,New,No,Yes,Yes,PPO,73836AK0770001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0770001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0770001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0770002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700007,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700007,AK
0,No,New,No,Yes,Yes,PPO,73836AK0770002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0770002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0770002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700008,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700008,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700009,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700009,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700010,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700010,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700005,AK
0,No,New,No,Yes,Yes,PPO,73836AK0700005,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710005,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710005,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710006,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710007,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710007,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710008,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0710008,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0750004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720005,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720005,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720006,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720006,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0720003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0760002,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0780001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730004,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730004,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0780001,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0780001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730001,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0780001,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0780002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730005,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730005,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0780002,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0780002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730002,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0780002,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730006,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730006,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0730003,AK
0,No,New,No,Yes,Yes,PPO,73836AK0790001,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740006,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740006,AK
0,No,New,No,Yes,Yes,PPO,73836AK0790001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0790002,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740001,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740001,AK
0,No,New,No,Yes,Yes,PPO,73836AK0790002,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740007,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740007,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740002,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740002,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740008,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740008,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740003,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740003,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740009,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740009,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740004,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740004,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740010,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740010,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740005,AK
0,Yes,New,No,Yes,Yes,PPO,73836AK0740005,AK
0,,Existing,,Yes,Yes,PPO,74819AK0020001,AK
0,,Existing,,Yes,Yes,PPO,74819AK0010001,AK
0,,Existing,,Yes,Yes,PPO,74819AK0010002,AK
0,,Existing,,Yes,Yes,PPO,74819AK0020002,AK
0,,Existing,,Yes,Yes,PPO,74819AK0020003,AK
0,,New,,Yes,Yes,PPO,74819AK0010007,AK
0,,New,,Yes,Yes,PPO,74819AK0010007,AK
0,,Existing,,Yes,Yes,PPO,74819AK0020003,AK
