FIPSCode,total,age5054,age5559,age60plus,median_age,adp
1001,55221,7.4,6.4,18.4,37.7,63.9
1003,195121,7.2,6.7,25.3,42.2,68.1
1005,26932,7.1,6.9,22.1,38.8,59.7
1007,22604,7.7,6,20.4,38.9,56.6
1009,57710,7.3,6.5,22.9,40.7,67.2
1011,10678,6.9,5.6,22.6,39.3,55.1
1013,20354,7,7,25,40.5,69.6
1015,116648,7.1,7,22.1,39.1,60.9
1017,34079,7.6,8.2,23.8,43,65.5
1019,26008,7.7,7.7,28.1,45.4,67.7
1021,43819,6.9,6.6,21.2,38.8,64.4
1023,13395,7.9,7.7,27.3,44.9,70.3
1025,25070,7.6,7,23.9,41.1,68
1027,13537,8.1,6.6,26.4,43.8,69.1
1029,15002,7,6.9,23.9,41.3,69.2
1031,50884,6.9,6.6,21.2,38.8,64.6
1033,54444,7.2,7.1,25,42.2,66.2
1035,12865,7.5,8,26.5,43.7,71.5
1037,11027,7.6,9.4,25.1,45.1,57.2
1039,37886,7.5,6.7,26.8,42.6,71.8
1041,13938,7.6,7.7,23.1,41.3,67
1043,80965,7.1,6.7,23.9,40.5,66.4
1045,49866,7,7,20.2,36.8,63.4
1047,42154,7.4,6.9,22,38.7,68.9
1049,71068,6.7,6.4,21.5,39.3,66.9
1051,80763,7.3,6.9,18.8,37.9,57.2
1053,37935,7.4,6.7,22.2,40.3,62.3
1055,103766,7.2,7.1,23.6,40.8,64.3
1057,16896,7.7,7.5,26,43.2,68.6
1059,31634,7.2,6.3,21.4,38.8,67.2
1061,26815,6.8,7.9,24.7,42.2,68.7
1063,8697,7.5,8.9,25,42.4,68.8
1065,15256,8,6.3,24.8,40.2,68.4
1067,17252,7,7.6,27.3,43,70.2
1069,103534,7.1,6.8,21.7,39,65.5
1071,52860,7.3,7.7,24.7,42.2,66
1073,659026,7.1,7.1,20,37.4,59
1075,14133,7.3,7.7,26.8,43.7,70.6
1077,92737,7,7.2,24.2,41.1,62.7
1079,33586,8.1,8.1,21.7,41.7,61.2
1081,150982,5.9,4.9,15,30.3,46.6
1083,88805,7.7,6.9,18.9,39,58.1
1085,10742,7.8,8,22.2,39.5,66.2
1087,20018,6.6,6.4,23.4,37.5,53.5
1089,346438,8.2,6.7,19,37.8,56.2
1091,20306,7,6.9,25.3,42.2,71.5
1093,30387,7.5,5.7,27.7,44.1,68.9
1095,94318,6.8,6.1,22.2,38.8,68.5
1097,414251,7.1,6.6,20.3,37,62.1
1099,22217,7.2,7.8,23.5,41.1,70.7
1101,228138,6.7,6.3,18.6,35.2,59.2
1103,119786,7.4,7,21.3,39.5,63
1105,10038,6.4,6.6,23.8,36.3,67.9
1107,19856,7.7,6.9,24.8,42.4,64.7
1109,33155,5.7,6,18.8,31.3,50.3
1111,22648,7.5,7.9,25.1,42.8,70.3
1113,58302,6.6,6.5,17.5,34.8,60.8
1115,85864,7.3,6.6,21.1,39.8,61
1117,203530,7.3,6.5,18.4,37.9,58.8
1119,13341,7,7.4,22.3,36.7,56.1
1121,81437,7.2,7.4,22.1,40.9,61.1
1123,41153,7.4,7.8,26,42.8,67.8
1125,200458,6,6.1,16.7,31.9,48
1127,65923,7.4,7,24.7,42.4,66.4
1129,16997,7.7,7.4,23,40.9,64.9
1131,11235,6.8,7,24.3,40.2,73.7
1133,24130,7.6,6.8,27.1,43.9,68.4
2013,3304,11.4,8,12.6,42.4,22.1
2016,5684,9.4,6.8,11.9,36.8,35
2020,299107,7,6.7,13.5,32.5,50.8
2050,17776,6.1,5.2,10.5,26.7,72.9
2060,970,10.4,9.8,12.2,39.7,46.7
2068,2060,8.8,6.3,14.2,35.9,36.9
2070,4979,6.7,7.4,13.1,29.7,65.3
2090,99705,6.2,5.9,12.9,30.4,47.5
2100,2560,7.1,13,23.7,45.5,49
2105,2128,9.9,10,26.5,47.8,47.1
2110,32531,8.5,8.3,16,37,47.7
2122,57221,8.1,8.4,21.5,40.5,57.4
2130,13699,8.1,8.1,19,38.7,52.9
2150,13973,6.9,7.4,12.5,32.4,54.6
2158,7914,5.4,4.5,8.3,23,83.5
2164,1474,8.7,7.3,12.1,31.1,59.9
2170,96178,7.6,7.2,14.8,34.6,58.2
2180,9854,6.3,5.2,12,27.8,71.3
2185,9667,9.5,8.5,10.1,33.9,42.9
2188,7732,6.1,5.1,10.4,26.1,72.8
2195,3221,7.9,8.7,19.6,40.4,55.4
2198,6376,8.7,9.4,18.2,39.7,55.2
2220,8943,8,8.3,19.1,38.9,54.7
2230,999,11.6,16,13.8,43.7,30.6
2240,7029,7.4,8.5,16.1,35.8,62
2261,9617,7.8,9.1,16.6,36.6,52
2275,2387,8.1,11.6,31,50.4,64.7
2282,643,13.4,8.7,17.7,42.5,52.7
2290,5644,7.4,7.3,19.7,35,69.2
4001,72124,6.7,6.3,18.2,33.4,74.3
4003,129647,6.4,6.5,25.9,40,71.2
4005,136701,6.3,6.3,15.8,30.8,48.1
4007,53165,6.9,8.6,33.2,48.6,85.5
4009,37407,5.6,5.4,16.9,32,66.2
4011,9023,6,5.9,17.4,33,67.2
4012,20335,5.9,7.2,42.5,54.8,110.4
4013,4018143,6.5,5.8,18.6,35.6,63.1
4015,203362,7.1,8,33.8,49.2,82
4017,107656,6.6,6.9,20.9,35.7,76.8
4019,998537,6.5,6.4,23.4,38,64.6
4021,389772,5.7,5.5,23.3,37.6,72.5
4023,47073,6.5,6.2,21.3,36.5,78.6
4025,215996,7.1,8.4,36.4,51.3,81.7
4027,202987,5.5,5,21.5,33.8,76.5
5001,18731,7.2,7.4,24.3,41.4,67.8
5003,21229,7.4,7,23.9,41.4,69.9
5005,41040,6.7,7.4,37.9,51.5,89.4
5007,238198,6.3,5.5,17.6,35,66.2
5009,37227,7.1,6.3,26.3,41.4,72.7
5011,11206,7.2,7.3,23.9,40.6,70.3
5013,5245,8.1,9.6,24.5,44.9,62.9
5015,27635,6.7,8.2,27.9,44.2,76.2
5017,11353,7.6,7.8,25.6,43.4,72.5
5019,22751,6.2,5.1,21.6,34,54
5021,15400,7.2,7.4,27.3,43.8,72.6
5023,25711,7.3,7.5,32.1,47.1,81.8
5025,8510,7.9,6,25.6,42.4,71.4
5027,24327,6.3,5.4,22.8,36,61.5
5029,21110,7.5,6.9,24.5,40.7,70.2
5031,101409,6.1,5.4,18.1,33.5,59.5
5033,61748,7.3,6.4,21.1,38.8,67.3
5035,49765,7,6,17.7,34.6,66.4
5037,17467,7.4,7,22.7,40.1,70.4
5039,7868,7.4,6.9,27.5,43.4,76.1
5041,12379,7.2,6.7,24.3,39.4,73.7
5043,18740,6.9,6.8,21,37.5,61.9
5045,119343,6.2,5.6,15.4,31.6,53.5
5047,17866,7.2,6.5,24.9,40.4,71.9
5049,12224,7,7.3,33,48,81.2
5051,96954,6.9,7.4,28.4,44.1,73.1
5053,18054,7.7,7.1,21.4,39.6,64.8
